,continuous,daily_start,daily_stop
35f1db19-ab26-7f30-3451-971f053712f6,False,10:45:00,03:00:00
a05598bc-59ac-6697-0673-0e87e7ccc677,False,06:30:00,00:45:00
b8ec0850-c5ce-1579-5438-8d1247f0ff16,False,10:00:00,03:00:00
b9ad1c9b-fbe2-f36f-ab2a-6894c251433f,False,14:30:00,08:00:00
61ff3699-aad4-35d3-4ecb-b8195e8b08cd,False,10:00:00,02:45:00
c388dd30-eaeb-dcfe-f76e-e2e6ebf83ce1,False,10:00:00,00:15:00
5fe94934-6a5f-af51-9794-5b881e7adf19,False,10:30:00,02:30:00
6f245a0a-eff7-e9fe-bb95-8d0270a775cf,False,13:30:00,08:00:00
35d54699-97cc-50f2-6d5c-5d50607e9631,False,09:30:00,23:15:00
327d1cc1-bf53-33f9-7374-184b3c7838ad,False,12:00:00,03:15:00
d1668f39-1f93-e186-9d6c-acb8ba6567e4,False,15:00:00,06:45:00
a31524b6-60b5-5928-887b-263b5cb59c23,False,14:00:00,09:00:00
cc250a40-4b23-6077-95f5-e207d3ddcf42,False,07:00:00,07:15:00
fb203000-0b6e-e587-0168-25b53c60a153,False,07:45:00,01:00:00
0644edc0-0417-d12c-b3cb-505bc2e3e258,False,10:15:00,03:15:00
adeeddca-5043-9a55-278a-db8b50518baa,False,13:45:00,18:45:00
8c5573ab-4066-3a42-8b0b-2b9dba5533a8,False,10:00:00,19:15:00
97a1a970-21c0-c946-f82b-e1b58b530cc3,False,15:30:00,23:15:00
e1936d00-255f-5073-fe4a-c0db2543150e,False,13:30:00,08:00:00
dbea811b-92f8-4e35-432c-9a7d19680a6d,False,12:00:00,02:30:00
678558e3-3fd0-d054-e17f-f0defcb52c12,False,10:45:00,07:30:00
591c3ec2-5ab5-f4fb-318d-4f46fc4d850d,False,10:00:00,03:00:00
c1cb8652-f39a-189e-25cf-7d6313a9b01f,False,14:45:00,06:15:00
7b59d921-c882-0ca0-7f89-fb8d60362225,False,13:00:00,05:45:00
72f8bc16-6c01-b9f1-b89d-8c38c11f0046,False,12:00:00,00:00:00
3dc26230-5764-4f78-4bbe-b7fa0557b7e8,False,04:00:00,03:00:00
f2f57d71-344e-adda-6441-3b7d6620dd40,False,10:00:00,03:00:00
