site_id,gap_dates
b9ad1c9b-fbe2-f36f-ab2a-6894c251433f,2018-08-18
b9ad1c9b-fbe2-f36f-ab2a-6894c251433f,2018-08-19
b9ad1c9b-fbe2-f36f-ab2a-6894c251433f,2018-08-20
b9ad1c9b-fbe2-f36f-ab2a-6894c251433f,2018-08-25
b9ad1c9b-fbe2-f36f-ab2a-6894c251433f,2018-08-26
b9ad1c9b-fbe2-f36f-ab2a-6894c251433f,2018-08-27
c388dd30-eaeb-dcfe-f76e-e2e6ebf83ce1,2018-07-06
c388dd30-eaeb-dcfe-f76e-e2e6ebf83ce1,2018-07-07
5fe94934-6a5f-af51-9794-5b881e7adf19,2018-07-06
5fe94934-6a5f-af51-9794-5b881e7adf19,2018-07-07
6f245a0a-eff7-e9fe-bb95-8d0270a775cf,2018-08-18
6f245a0a-eff7-e9fe-bb95-8d0270a775cf,2018-08-19
6f245a0a-eff7-e9fe-bb95-8d0270a775cf,2018-08-20
6f245a0a-eff7-e9fe-bb95-8d0270a775cf,2018-08-25
6f245a0a-eff7-e9fe-bb95-8d0270a775cf,2018-08-26
6f245a0a-eff7-e9fe-bb95-8d0270a775cf,2018-08-27
35d54699-97cc-50f2-6d5c-5d50607e9631,2018-07-06
35d54699-97cc-50f2-6d5c-5d50607e9631,2018-07-07
a31524b6-60b5-5928-887b-263b5cb59c23,2018-08-18
a31524b6-60b5-5928-887b-263b5cb59c23,2018-08-19
a31524b6-60b5-5928-887b-263b5cb59c23,2018-08-20
a31524b6-60b5-5928-887b-263b5cb59c23,2018-08-25
a31524b6-60b5-5928-887b-263b5cb59c23,2018-08-26
a31524b6-60b5-5928-887b-263b5cb59c23,2018-08-27
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-06-30
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-01
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-02
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-03
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-04
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-05
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-06
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-07
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-08
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-09
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-10
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-11
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-12
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-13
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-14
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-15
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-16
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-17
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-18
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-19
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-20
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-21
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-22
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-23
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-24
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-25
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-26
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-27
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-28
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-29
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-30
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-07-31
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-01
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-02
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-03
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-04
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-05
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-06
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-07
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-08
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-09
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-10
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-11
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-12
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-13
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-14
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-15
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-16
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-17
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-18
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-19
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-20
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-21
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-22
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-23
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-24
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-25
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-26
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-27
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-28
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-29
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-30
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-08-31
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-01
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-02
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-03
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-04
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-05
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-06
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-07
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-08
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-09
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-10
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-11
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-12
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-13
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-14
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-15
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-16
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-17
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-18
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-19
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-20
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-21
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-22
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-23
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-24
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-25
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-26
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-27
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-28
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-29
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-09-30
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-01
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-02
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-03
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-04
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-05
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-06
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-07
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-08
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-09
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-10
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-11
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-12
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-13
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-14
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-15
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-16
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-17
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-18
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-19
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-20
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-21
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-22
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-23
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-24
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-25
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-26
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-27
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-28
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-29
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-30
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-10-31
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-11-01
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-11-02
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-11-03
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-11-04
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-11-05
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-11-06
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-11-07
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-11-08
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-11-09
cc250a40-4b23-6077-95f5-e207d3ddcf42,2017-11-10
