site_id,potential_dr_dates
35f1db19-ab26-7f30-3451-971f053712f6,2015-05-25
35f1db19-ab26-7f30-3451-971f053712f6,2015-06-01
35f1db19-ab26-7f30-3451-971f053712f6,2015-09-14
35f1db19-ab26-7f30-3451-971f053712f6,2015-09-21
35f1db19-ab26-7f30-3451-971f053712f6,2015-10-12
35f1db19-ab26-7f30-3451-971f053712f6,2015-10-24
35f1db19-ab26-7f30-3451-971f053712f6,2015-11-24
35f1db19-ab26-7f30-3451-971f053712f6,2015-11-25
35f1db19-ab26-7f30-3451-971f053712f6,2015-12-12
35f1db19-ab26-7f30-3451-971f053712f6,2015-12-14
35f1db19-ab26-7f30-3451-971f053712f6,2016-02-12
35f1db19-ab26-7f30-3451-971f053712f6,2016-02-13
35f1db19-ab26-7f30-3451-971f053712f6,2016-03-19
35f1db19-ab26-7f30-3451-971f053712f6,2016-04-16
35f1db19-ab26-7f30-3451-971f053712f6,2016-04-18
35f1db19-ab26-7f30-3451-971f053712f6,2016-04-25
35f1db19-ab26-7f30-3451-971f053712f6,2016-04-30
35f1db19-ab26-7f30-3451-971f053712f6,2016-05-02
35f1db19-ab26-7f30-3451-971f053712f6,2016-05-04
35f1db19-ab26-7f30-3451-971f053712f6,2016-05-05
35f1db19-ab26-7f30-3451-971f053712f6,2016-05-06
35f1db19-ab26-7f30-3451-971f053712f6,2016-05-07
35f1db19-ab26-7f30-3451-971f053712f6,2016-05-09
35f1db19-ab26-7f30-3451-971f053712f6,2016-05-10
35f1db19-ab26-7f30-3451-971f053712f6,2016-06-13
35f1db19-ab26-7f30-3451-971f053712f6,2016-10-15
35f1db19-ab26-7f30-3451-971f053712f6,2016-10-24
35f1db19-ab26-7f30-3451-971f053712f6,2016-10-29
35f1db19-ab26-7f30-3451-971f053712f6,2016-10-31
35f1db19-ab26-7f30-3451-971f053712f6,2016-12-05
35f1db19-ab26-7f30-3451-971f053712f6,2016-12-12
35f1db19-ab26-7f30-3451-971f053712f6,2017-03-07
35f1db19-ab26-7f30-3451-971f053712f6,2017-03-08
35f1db19-ab26-7f30-3451-971f053712f6,2017-04-10
35f1db19-ab26-7f30-3451-971f053712f6,2017-04-15
35f1db19-ab26-7f30-3451-971f053712f6,2017-05-27
35f1db19-ab26-7f30-3451-971f053712f6,2017-05-29
35f1db19-ab26-7f30-3451-971f053712f6,2017-06-03
35f1db19-ab26-7f30-3451-971f053712f6,2017-06-05
35f1db19-ab26-7f30-3451-971f053712f6,2017-06-26
35f1db19-ab26-7f30-3451-971f053712f6,2017-09-04
35f1db19-ab26-7f30-3451-971f053712f6,2017-09-09
35f1db19-ab26-7f30-3451-971f053712f6,2017-09-11
35f1db19-ab26-7f30-3451-971f053712f6,2017-09-30
35f1db19-ab26-7f30-3451-971f053712f6,2017-10-02
35f1db19-ab26-7f30-3451-971f053712f6,2017-10-16
35f1db19-ab26-7f30-3451-971f053712f6,2017-10-21
35f1db19-ab26-7f30-3451-971f053712f6,2017-10-23
35f1db19-ab26-7f30-3451-971f053712f6,2017-11-04
35f1db19-ab26-7f30-3451-971f053712f6,2017-11-05
35f1db19-ab26-7f30-3451-971f053712f6,2017-11-06
35f1db19-ab26-7f30-3451-971f053712f6,2018-01-12
35f1db19-ab26-7f30-3451-971f053712f6,2018-01-13
35f1db19-ab26-7f30-3451-971f053712f6,2018-04-07
35f1db19-ab26-7f30-3451-971f053712f6,2018-04-16
35f1db19-ab26-7f30-3451-971f053712f6,2018-05-05
35f1db19-ab26-7f30-3451-971f053712f6,2018-05-12
35f1db19-ab26-7f30-3451-971f053712f6,2018-05-21
35f1db19-ab26-7f30-3451-971f053712f6,2018-06-11
35f1db19-ab26-7f30-3451-971f053712f6,2018-09-24
35f1db19-ab26-7f30-3451-971f053712f6,2018-09-29
35f1db19-ab26-7f30-3451-971f053712f6,2018-10-01
a05598bc-59ac-6697-0673-0e87e7ccc677,2018-06-16
a05598bc-59ac-6697-0673-0e87e7ccc677,2018-06-17
a05598bc-59ac-6697-0673-0e87e7ccc677,2018-06-27
a05598bc-59ac-6697-0673-0e87e7ccc677,2018-06-29
a05598bc-59ac-6697-0673-0e87e7ccc677,2018-06-30
a05598bc-59ac-6697-0673-0e87e7ccc677,2018-07-05
a05598bc-59ac-6697-0673-0e87e7ccc677,2018-07-06
a05598bc-59ac-6697-0673-0e87e7ccc677,2018-07-08
a05598bc-59ac-6697-0673-0e87e7ccc677,2018-07-14
a05598bc-59ac-6697-0673-0e87e7ccc677,2018-07-15
a05598bc-59ac-6697-0673-0e87e7ccc677,2018-07-16
